10000100010001111000010010000101 00001011101011011011111011101111 00000000000100111100101011111110
11101100111010001010101111010100 00000001010100100111110011010111 00101100001010000011010110001100
10111010101101111111010010010000 01011010000011001111000110001100 00111111000111110111101011011010
11010100011111111111000000001010 10010011111110011111000101110001 01000110111000000110100111010111
10010100100010100001110111011000 00101010110000010101111001111101 00100111001101011100011101110101
10101101010101010001111000000001 01011010000110100101001100001100 00001101010011011100110101101111
10101101110000111011101011010101 10100101000000001101011100001101 10000110011111000110100010111010
10100010110110100000000110001110 01111010101110001101000011101010 01111001100111101100100111101101
10010110000001100010001100111111 01110011111110100001101110101011 00111010111000011111010101000110
10011010111101000100101100010010 00100110010101110011110101100100 00101100111101111101001101101010
11010100001110011110110110011011 10011100111000001010100001000011 00010100111110111001110111011100
11010010000101010000001010010101 00101111101101100100101010110000 00010110011101110110100111101001
10101001101010111010111101110010 10100001111101101010101011011110 10001010001101010010101001100001
10011111100011010111111010010010 00110100011000000100110010100111 00101100010000010011101110110001
11100000101101001101001110000110 00000001011000100000100101000010 10011100011111110001111100000100
10100101111010011110110101101101 10011000110101001011001100111101 10010100001011000101100111011010
11111111010001110010010011111000 00010010100110110000101110110100 00100001000101101011100110110101
11111011010010000000111000110111 00010110101011010001110001101010 10101100011010110100000010010101
11101101110100001010001100100000 00100001101110011101111011111100 11010010010100111100100111011111
11111100000011000110001011101000 11010101011000100011010111001011 11001000010000010101111110001011
11100110011110001001111110010101 10110011110010101010101000101010 11000000110010101010100000110000
10111110001001001001001011110110 01111110010110010100111000100111 00110110111111000111100010101010
11101000100111000111000000110101 00000111100000000111111011011011 10100001111110110000001111100101
11010010111110110111001111000100 00101110000010110000101010011111 00010101000001011101001101010011
10011110100101111110111011100101 00010000011101101101111110001101 01111110101110011101101100011000
11100111001001100001100111000010 01001000001111001010101010100110 01000001000101101100100100100001
11111101000011010010110000011010 10111010101111001010101010111110 01001110101000001100101101000101
10011001101101000100111001010010 01111000001001011100011011101000 00010001001001001010001110111000
10010100010011101110110010011111 10000001000101010101000101111000 01100110010011001010111011000011
10001011101000011111000100100011 00001001011011110111001100010110 00111001010011111101110101011011
11001110010110100110000101000011 01001101111110000101011011100111 01101010111000101110100100000111
11101000101110100111011001101010 00110000010100100100111111000100 01011000111010101101000100100001
10101001000010000010000010100001 10000000001100000110110100011100 00011101010000010001010011101001
10000100011100110000000000000011 10000011110101001110110111101111 01011101101110001110100110000101
11100001011101101111111001000000 10100111110100110100001000100110 01011101111101111001101011111111
11101000010010000110011110011100 00010101111001111110011011110001 00101010000111100111010101001011
11110010010100111000101001110101 00011000011100000011100111001110 01011110000010000010011011001100
10110011101111110101100101111001 00101011000101100111110001010101 10101100011101101110110110011011
10001110001101011100110010111110 01110000011011000110000000010001 00111111000111111000011010011110
