8.5 ns 156.5 ns
163.5 ns 306.5 ns
310.5 ns 453.5 ns
460.5 ns 604.5 ns
608.5 ns 752.5 ns
759.5 ns 900.5 ns
904.5 ns 1045.5 ns
1052.5 ns 1200.5 ns
1204.5 ns 1352.5 ns
1359.5 ns 1505.5 ns
1509.5 ns 1655.5 ns
1662.5 ns 1804.5 ns
1808.5 ns 1950.5 ns
1957.5 ns 2100.5 ns
2104.5 ns 2247.5 ns
2254.5 ns 2395.5 ns
2402.5 ns 2547.5 ns
2551.5 ns 2696.5 ns
2703.5 ns 2850.5 ns
2857.5 ns 2997.5 ns
3001.5 ns 3141.5 ns
3148.5 ns 3293.5 ns
3300.5 ns 3447.5 ns
3454.5 ns 3597.5 ns
3601.5 ns 3744.5 ns
3751.5 ns 3897.5 ns
3901.5 ns 4047.5 ns
4054.5 ns 4198.5 ns
4202.5 ns 4346.5 ns
4353.5 ns 4497.5 ns
4501.5 ns 4645.5 ns
4652.5 ns 4795.5 ns
4802.5 ns 4943.5 ns
4950.5 ns 5091.5 ns
5095.5 ns 5236.5 ns
5243.5 ns 5388.5 ns
5395.5 ns 5542.5 ns
5549.5 ns 5691.5 ns
5698.5 ns 5842.5 ns
5849.5 ns 5990.5 ns
5997.5 ns 6137.5 ns
6144.5 ns 6286.5 ns
6293.5 ns 6436.5 ns
6443.5 ns 6586.5 ns
6593.5 ns 6734.5 ns
6741.5 ns 6884.5 ns
6893.5 ns 7035.5 ns
7042.5 ns 7187.5 ns
7194.5 ns 7334.5 ns
7338.5 ns 7478.5 ns
7485.5 ns 7623.5 ns
7627.5 ns 7765.5 ns
7772.5 ns 7914.5 ns
7921.5 ns 8064.5 ns
8071.5 ns 8215.5 ns
8222.5 ns 8367.5 ns
8371.5 ns 8516.5 ns
8523.5 ns 8667.5 ns
8671.5 ns 8815.5 ns
8822.5 ns 8966.5 ns
8973.5 ns 9113.5 ns
9117.5 ns 9257.5 ns
9264.5 ns 9408.5 ns
9415.5 ns 9551.5 ns
9555.5 ns 9691.5 ns
9698.5 ns 9834.5 ns
9838.5 ns 9974.5 ns
9981.5 ns 10121.5 ns
10128.5 ns 10273.5 ns
10280.5 ns 10429.5 ns
10436.5 ns 10580.5 ns
10587.5 ns 10727.5 ns
10734.5 ns 10873.5 ns
10877.5 ns 11016.5 ns
11023.5 ns 11157.5 ns
11164.5 ns 11306.5 ns
11310.5 ns 11452.5 ns
11459.5 ns 11601.5 ns
11608.5 ns 11752.5 ns
11759.5 ns 11900.5 ns
11907.5 ns 12048.5 ns
12055.5 ns 12200.5 ns
12204.5 ns 12349.5 ns
12356.5 ns 12504.5 ns
12508.5 ns 12656.5 ns
12663.5 ns 12808.5 ns
12815.5 ns 12960.5 ns
12964.5 ns 13109.5 ns
13116.5 ns 13262.5 ns
13269.5 ns 13407.5 ns
13416.5 ns 13557.5 ns
13564.5 ns 13700.5 ns
13704.5 ns 13840.5 ns
13847.5 ns 13988.5 ns
13995.5 ns 14132.5 ns
14136.5 ns 14273.5 ns
14280.5 ns 14425.5 ns
14429.5 ns 14574.5 ns
14581.5 ns 14718.5 ns
14725.5 ns 14869.5 ns
14873.5 ns 15017.5 ns
15024.5 ns 15166.5 ns
15170.5 ns 15312.5 ns
15319.5 ns 15458.5 ns
15465.5 ns 15605.5 ns
15609.5 ns 15749.5 ns
